Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Auto Add Item to Check,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Current Quantity Atlas Growth,New Quantity Atlas Growth,Stock Alert Enabled Atlas Growth,Stock Alert Count Atlas Growth,Modifier Set - Spice Level,Station,Cook Time
,Boudin Balls,Regular,,Crispy boudin balls served with Creole Mustard Aioli and Sticky Crystal Glaze.,Shareables,,,,,,,,,,,,,,,12.5,,,Y,,N,,,,,,,,,,,,Fryer,6
,504 Wings,Buffalo Hot,,Crispy sauced chicken wings & flats.,Shareables,,,,,,,,,,,,,,,14.0,,,Y,,N,,,,,,,,,,,,Fryer,10
,504 Wings,Smoky Sweet BBQ,,Crispy sauced chicken wings & flats.,Shareables,,,,,,,,,,,,,,,14.0,,,Y,,N,,,,,,,,,,,,Fryer,10
,504 Wings,Garlic Parmesan,,Crispy sauced chicken wings & flats.,Shareables,,,,,,,,,,,,,,,14.0,,,Y,,N,,,,,,,,,,,,Fryer,10
,Cajun Crawfish Pies,Regular,,Fun‑sized Cajun crawfish pies with étouffée sauce.,Shareables,,,,,,,,,,,,,,,13.0,,,Y,,N,,,,,,,,,,,,Fryer,8
,Smoked Tuna Dip,Regular,,House smoked Gulf tuna dip with Cajun fried crackers.,Shareables,,,,,,,,,,,,,,,15.0,,,Y,,N,,,,,,,,,,,,cold_prep,0
,Pineapple Fried Shrimp,Regular,,Crispy Gulf shrimp in pineapple glaze with Sriracha sesame salad.,Shareables,,,,,,,,,,,,,,,14.0,,,Y,,N,,,,,,,,,,,,Fryer,6
,Clubhouse Nachos,Regular,,"Fresh chips, queso, black beans, salsa fresca, jalapeños, sour cream.",Shareables,,,,,,,,,,,,,,,15.5,,,Y,,N,,,,,,,,,,,,assembly,5
,Just Chips and Salsa,Regular,,Fresh fried chips with house salsa.,Shareables,,,,,,,,,,,,,,,6.0,,,Y,,N,,,,,,,,,,,,assembly,2
,Plus Bowl of Queso,Regular,,Add‑on bowl of pepperjack queso.,Shareables,,,,,,,,,,,,,,,8.0,,,Y,,N,,,,,,,,,,,,assembly,2
,Just Chips and Queso,Regular,,Fresh chips with pepperjack queso.,Shareables,,,,,,,,,,,,,,,9.5,,,Y,,N,,,,,,,,,,,,assembly,3
,The Hangover,Regular,,"Seasoned smashburger with cheddar, onion crisps, special sauce.",Burgers,,,,,,,,,,,,,,,18.0,,,Y,,N,,,,,,,,,,,,grill,12
,The Classic Ride,Regular,,Classic smashburger with grilled onions and cheese choice.,Burgers,,,,,,,,,,,,,,,17.0,,,Y,,N,,,,,,,,,,,,grill,12
